,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
2163,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101,120CM,1792025,46656,,17/09/2025,28/11/2025,-133,,28/11/25,#N/A,#N/A,#N/A,,,205,
2164,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101,130CM,1792025,43200,,17/09/2025,28/11/2025,-133,,28/11/25,#N/A,#N/A,#N/A,,,205,
2165,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100,120CM,1792025,23328,,17/09/2025,28/11/2025,-133,,28/11/25,#N/A,#N/A,#N/A,,,205,
2166,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100,130CM,1792025,14400,,17/09/2025,28/11/2025,-133,,28/11/25,#N/A,#N/A,#N/A,,,205,
2201,OK,DAKOTA MARANGUAPE,133,136304,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,82249D,11200,,13/03/2026,25/03/2026,-16,PRODUÇAO,25/03/2026,#N/A,#N/A,#N/A,4142643,,28,
2202,NÃO,DAKOTA MARANGUAPE,133,136521,1821594,89683,ATAC. M22063 7MM POLIESTER COR 052,110CM,82580D,184,,19/03/2026,31/03/2026,-10,PRODUÇAO,31/03/2026,#N/A,#N/A,#N/A,1821594,,22,
2203,OK,DAKOTA MARANGUAPE,133,136762,50028049,76993,FITA MFGP POLIESTER COR 290,15MM,82847D,400,,26/03/2026,08/04/2026,-2,,08/04/2026,#N/A,#N/A,#N/A,50028049,,15,
2204,OK,DAKOTA MARANGUAPE,133,136762,50046056,76103,ELAST. LS 16410 POLIESTER COR 812,7MM,82847D,1500,,26/03/2026,08/04/2026,-2,,08/04/2026,#N/A,#N/A,#N/A,50046056,,15,
2205,OK,DAKOTA MARANGUAPE,133,136763,1821076,80773,ATAC. M22063 7MM POLIESTER COR 290,110CM,82858D,700,,26/03/2026,08/04/2026,-2,,08/04/2026,#N/A,#N/A,#N/A,1821076,,15,
2206,OK,DAKOTA MARANGUAPE,133,136842,50146506,90169,ELAST. LS 16410 POLIESTER COR 4229,7MM,82941D,500,,30/03/2026,08/04/2026,-2,,08/04/2026,#N/A,#N/A,#N/A,50146506,,11,
462,OK,DASS ITAPIPOCA,2,135789,1392478,94142,ATAC. M12109 6MM POLIESTER COR 6021,95CM,15368511,265,15365194ITA11202-A,02/03/2026,09/04/2026,-1,,06/04/2026,09/04/26,,#N/A,1392478,MONTAR,39,
463,OK,DASS ITAPIPOCA,2,135789,1392478,94142,ATAC. M12109 6MM POLIESTER COR 6021,95CM,15368511,269,15365205ITA11202-B,02/03/2026,09/04/2026,-1,,06/04/26,09/04/26,,#N/A,1392478,MONTAR,39,
464,OK,DASS ITAPIPOCA,2,135789,1392478,94142,ATAC. M12109 6MM POLIESTER COR 6021,100CM,15368511,90,15365194ITA11202-A,02/03/2026,09/04/2026,-1,,06/04/2026,09/04/26,,#N/A,1392478,MONTAR,39,
465,OK,DASS ITAPIPOCA,2,135789,1392478,94142,ATAC. M12109 6MM POLIESTER COR 6021,100CM,15368511,117,15365205ITA11202-B,02/03/2026,09/04/2026,-1,,06/04/2026,09/04/26,,#N/A,1392478,MONTAR,39,
942,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,551,15402228ADS000001-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/26,,#N/A,1410855,,31,
943,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,510,15402231ADS000001-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/26,,#N/A,1410855,,31,
944,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,480,15402234ADS000001-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/26,,#N/A,1410855,,31,
945,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,551,15402237ADS000002-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/26,09/04/26,,#N/A,1410855,,31,
946,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,510,15402240ADS000002-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/26,09/04/26,,#N/A,1410855,,31,
