,,,,,,,09/07/2026,RELATÓRIO ATUALIZADO CEARÁ,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,09/07/2026,,,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,09/07/2026 17:02:13,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,MARCA,LOTE,Column 23
2025,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101,120CM,1792025,32112,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2026,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101,130CM,1792025,43200,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2027,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100,120CM,1792025,6048,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2028,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100,130CM,1792025,14400,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2086,OK,DAKOTA MARANGUAPE,133,138973,50046056,76103,ELAST. LS 16410 POLIESTER COR 812,7MM,85481D,1300,,26/05/2026,08/06/2026,-31,PRODUÇAO,08/06/2026,#N/A,#N/A,#N/A,50046056,,44,DAKOTA (Todas),134003,
2087,NÃO,DAKOTA MARANGUAPE,133,139481,1822108,94400,ATAC. M22063 7MM POLIESTER COR 4434,120CM,43571U,36,,09/06/2026,17/06/2026,-22,PRODUÇAO,17/06/2026,#N/A,#N/A,#N/A,1822108,,30,DAKOTA (Todas),134245,
1990,OK,DAKOTA RUSSAS,43,139475,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,86161D,3000,,09/06/2026,23/06/2026,-16,PRODUÇAO,23/06/2026,#N/A,#N/A,#N/A,4142643,,30,DAKOTA (Todas),134248,
2029,OK,DAKOTA IGUATU,91,139762,6316865,69743,ATAC. M1294 7MM POLIESTER COR 101,85CM,54364U,848,,16/06/2026,24/06/2026,-15,PRODUÇAO,24/06/2026,#N/A,#N/A,#N/A,6316865,,23,DAKOTA (Todas),134719,
2114,OK,DAKOTA MARANGUAPE,133,139854,1821021,80778,ATAC. M22063 7MM POLIESTER COR 062,120CM,57090U,120,,18/06/2026,25/06/2026,-14,PRODUÇAO,25/06/2026,#N/A,#N/A,#N/A,1821021,,21,DAKOTA (Todas),134861,
2030,NÃO,DAKOTA IGUATU,91,139847,6318743,94818,ATAC. M1294 7MM POLIESTER COR 041,85CM,59910U,30,,18/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,6318743,URDIDEIRA,21,DAKOTA (Todas),134854,
2031,NÃO,DAKOTA IGUATU,91,139847,1843198,94818,ATAC. M1294 7MM POLIESTER COR 041,95CM,59910U,75,,18/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,1843198,URDIDEIRA,21,DAKOTA (Todas),134854,
2088,OK,DAKOTA MARANGUAPE,133,139483,4114050,69627,ELAST. LS 16410 POLIESTER COR 100,7MM,86095D,40000,,09/06/2026,26/06/2026,-13,PRODUÇAO,26/06/26,#N/A,#N/A,#N/A,4114050,,30,DAKOTA (Todas),134243,
2089,OK,DAKOTA MARANGUAPE,133,139483,50141476,83285,ELAST. LS 16410 POLIESTER COR 5388,7MM,86095D,1000,,09/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,50141476,,30,DAKOTA (Todas),134243,
2090,NÃO,DAKOTA MARANGUAPE,133,139483,821303,95050,ELAST. LS 16410 POLIESTER COR 962,7MM,86095D,100,,09/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,821303,MONTAR,30,DAKOTA (Todas),134243,
2091,OK,DAKOTA MARANGUAPE,133,139483,1821147,80825,ATAC. M22063 7MM POLIESTER COR 101,120CM,86095D,1424,,09/06/2026,26/06/2026,-13,PRODUÇAO,26/06/2026,#N/A,#N/A,#N/A,1821147,,30,DAKOTA (Todas),134243,
2092,OK,DAKOTA MARANGUAPE,133,139484,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,86099D,1500,,09/06/2026,26/06/2026,-13,PRODUÇAO,26/06/2026,#N/A,#N/A,#N/A,4142643,,30,DAKOTA (Todas),134242,
2093,OK,DAKOTA MARANGUAPE,133,139484,50046056,76103,ELAST. LS 16410 POLIESTER COR 812,7MM,86099D,3000,,09/06/2026,26/06/2026,-13,FALTA DE FIO,26/06/2026,#N/A,#N/A,#N/A,50046056,,30,DAKOTA (Todas),134242,
2094,NÃO,DAKOTA MARANGUAPE,133,139486,50132299,71855,FITA MFGP POLIESTER COR 072,15MM,86110D,200,,09/06/2026,26/06/2026,-13,,26/06/26,#N/A,#N/A,#N/A,50132299,MONTAR,30,DAKOTA (Todas),134240,
2095,OK,DAKOTA MARANGUAPE,133,139765,4116876,70420,ELAST. LS 16410 POLIESTER COR 290,7MM,86676D,800,,16/06/2026,29/06/2026,-10,,29/06/26,#N/A,#N/A,#N/A,4116876,URDIDEIRA,23,DAKOTA (Todas),134727,
2096,NÃO,DAKOTA MARANGUAPE,133,139765,50063913,73619,ELAST. LS 16410 POLIESTER COR 005,7MM,86676D,200,,16/06/2026,29/06/2026,-10,PRODUÇAO,29/06/26,#N/A,#N/A,#N/A,50063913,,23,DAKOTA (Todas),134727,
2097,OK,DAKOTA MARANGUAPE,133,139765,4141897,77081,ELAST. LS 16410 POLIESTER COR 321,7MM,86676D,200,,16/06/2026,29/06/2026,-10,,29/06/26,#N/A,#N/A,#N/A,4141897,URDIDEIRA,23,DAKOTA (Todas),134727,
2098,OK,DAKOTA MARANGUAPE,133,139765,4117542,78236,ELAST. LS 16410 POLIESTER COR 182,7MM,86676D,800,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,4117542,URDIDEIRA,23,DAKOTA (Todas),134727,
2099,OK,DAKOTA MARANGUAPE,133,139765,50141476,83285,ELAST. LS 16410 POLIESTER COR 5388,7MM,86676D,2000,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,50141476,MONTAR,23,DAKOTA (Todas),134727,
2100,OK,DAKOTA MARANGUAPE,133,139765,50048514,90400,ELAST. LS 16410 POLIESTER COR 010,7MM,86676D,2000,,16/06/2026,29/06/2026,-10,,29/06/26,#N/A,#N/A,#N/A,50048514,URDIDEIRA,23,DAKOTA (Todas),134727,
2101,OK,DAKOTA MARANGUAPE,133,139766,1237409,69564,FITA MFGP POLIESTER COR 100,10MM,86683D,300,,16/06/2026,29/06/2026,-10,PRODUÇAO,29/06/2026,#N/A,#N/A,1237409,50028174,,23,DAKOTA (Todas),134728,
2102,OK,DAKOTA MARANGUAPE,133,139766,1168867,69564,FITA MFGP POLIESTER COR 100,15MM,86683D,2000,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,1168867,50025128,MONTAR,23,DAKOTA (Todas),134728,
2103,NÃO,DAKOTA MARANGUAPE,133,139766,50028030,75382,FITA MFGP POLIESTER COR 226,15MM,86683D,50,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,50028030,MONTAR,23,DAKOTA (Todas),134728,
