,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MARFIM MINAS7413040480114120CM179202520250917-1,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101 [9a628c34-b838-4af2-a34b-a3cedfd5799d],120CM,1792025,32112,,17/09/2025,28/11/2025,-224,22/06/2026,2181,,9a628c34-b838-4af2-a34b-a3cedfd5799d,,127573
MARFIM MINAS7413040480114130CM179202520250917-1,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101 [a02ec457-6ef5-4a67-8d58-2753c1c4c71e],130CM,1792025,43200,,17/09/2025,28/11/2025,-224,22/06/2026,2182,,a02ec457-6ef5-4a67-8d58-2753c1c4c71e,,127573
MARFIM MINAS7413040483038120CM179202520250917-1,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100 [b3209dca-ef0f-4d76-9d5f-a8947ba994be],120CM,1792025,6048,,17/09/2025,28/11/2025,-224,22/06/2026,2183,,b3209dca-ef0f-4d76-9d5f-a8947ba994be,,127573
MARFIM MINAS7413040483038130CM179202520250917-1,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100 [6c5042d0-315a-4704-b772-cb3e79170320],130CM,1792025,14400,,17/09/2025,28/11/2025,-224,22/06/2026,2184,,6c5042d0-315a-4704-b772-cb3e79170320,,127573
DAKOTA MARANGUAPE133138973761037MM85481D20260526-1,OK,DAKOTA MARANGUAPE,133,138973,50046056,76103,ELAST. LS 16410 POLIESTER COR 812 [280d8fac-543d-4de7-801a-7266562ffb88],7MM,85481D,1300,,26/05/2026,08/06/2026,-32,22/06/2026,2240,,280d8fac-543d-4de7-801a-7266562ffb88,DAKOTA (Todas),134003
DASS ITAPIPOCA21391679136812MM1577061320260529-1,OK,DASS ITAPIPOCA,2,139167,1370216,91368,FITA M31134 C/GOMA POLIESTER COR 100 / COR 765 [a2ab7c86-0d6c-48a0-a7c1-8bc4a862ee5f],12MM,15770613,900,0,29/05/2026,12/06/2026,-28,22/06/2026,760,,a2ab7c86-0d6c-48a0-a7c1-8bc4a862ee5f,ADIDAS,134075
DAKOTA MARANGUAPE13313948194400120CM43571U20260609-1,NÃO,DAKOTA MARANGUAPE,133,139481,1822108,94400,ATAC. M22063 7MM POLIESTER COR 4434 [fc22b3f1-e480-4f8d-8f82-f0fc66cc4449],120CM,43571U,36,,09/06/2026,17/06/2026,-23,22/06/2026,2247,,fc22b3f1-e480-4f8d-8f82-f0fc66cc4449,DAKOTA (Todas),134245
DAKOTA RUSSAS43139475702177MM86161D20260609-1,OK,DAKOTA RUSSAS,43,139475,4142643,70217,ELAST. LS 16410 POLIESTER COR 101 [6800b92b-7058-4824-8f8b-efc30d8d0e60],7MM,86161D,3000,,09/06/2026,23/06/2026,-17,22/06/2026,2146,,6800b92b-7058-4824-8f8b-efc30d8d0e60,DAKOTA (Todas),134248
DAKOTA IGUATU911397626974385CM54364U20260616-1,OK,DAKOTA IGUATU,91,139762,6316865,69743,ATAC. M1294 7MM POLIESTER COR 101 [82b16665-5e97-44b9-baf0-31eca3767162],85CM,54364U,848,,16/06/2026,24/06/2026,-16,22/06/2026,2211,,82b16665-5e97-44b9-baf0-31eca3767162,DAKOTA (Todas),134719
DAKOTA MARANGUAPE13313985480778120CM57090U20260618-1,OK,DAKOTA MARANGUAPE,133,139854,1821021,80778,ATAC. M22063 7MM POLIESTER COR 062 [4346d82c-9897-4442-a5a9-8bb2df3062f6],120CM,57090U,120,,18/06/2026,25/06/2026,-15,22/06/2026,2316,,4346d82c-9897-4442-a5a9-8bb2df3062f6,DAKOTA (Todas),134861
