COD.,NOME CLIENTE,PEDIDO,COD CLIENTE,COD ITEM,DESCRIÇÃO,TAM.,OC,QTD ABERTA,Lote Dilly,COD OS,DT RECEB,DT ENTREGA,DIAS,LOTES,NOVA DATA,,,,,,,,
2,DASS NORDESTE CALCADOS,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,115CM,15636339,331,15619100ADL0000414 OC: 15636339 - 1380684,15619100ADL0000414,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"436,92"
2,DASS NORDESTE CALCADOS,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,120CM,15636339,265,15619128ADL0000415 OC: 15636339 - 1380684,15619128ADL0000415,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"365,7"
2,DASS NORDESTE CALCADOS,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,125CM,15636339,209,15619122ADL0000415 OC: 15636339 - 1380684,15619122ADL0000415,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"300,96"
2,DASS NORDESTE CALCADOS,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,125CM,15636339,150,15619125ADL0000415 OC: 15636339 - 1380684,15619125ADL0000415,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"216,00"
2,DASS NORDESTE CALCADOS,138057,1380684,93923,ATAC. M60126 6MM ALPINA COR 2453,125CM,15636339,120,15619128ADL0000415 OC: 15636339 - 1380684,15619128ADL0000415,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"172,8"
2,DASS NORDESTE CALCADOS,138057,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,115CM,15636339,18,15619143ADL0000418 OC: 15636339 - 1380686,15619143ADL0000418,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"23,76"
2,DASS NORDESTE CALCADOS,138057,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,120CM,15636339,496,15619143ADL0000418 OC: 15636339 - 1380686,15619143ADL0000418,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"684,48"
2,DASS NORDESTE CALCADOS,138057,1380686,94041,ATAC. M60126 6MM ALPINA COR 2455,125CM,15636339,192,15619143ADL0000418 OC: 15636339 - 1380686,15619143ADL0000418,4/29/2026,15/06/2026,-24,132970,,,,,,,,,"276,48"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636350,10,15619103ADL0000419 OC: 15636350 - 1380683,15619103ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"13,2"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636350,10,15619106ADL0000419 OC: 15636350 - 1380683,15619106ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"13,20"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636350,19,15619110ADL0000419 OC: 15636350 - 1380683,15619110ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"25,08"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,391,15619103ADL0000419 OC: 15636350 - 1380683,15619103ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"539,58"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,390,15619106ADL0000419 OC: 15636350 - 1380683,15619106ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"538,20"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,390,15619110ADL0000419 OC: 15636350 - 1380683,15619110ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"538,2"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,390,15619113ADL0000419 OC: 15636350 - 1380683,15619113ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"538,2"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,380,15619116ADL0000419 OC: 15636350 - 1380683,15619116ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"524,4"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636350,422,15619119ADL0000419 OC: 15636350 - 1380683,15619119ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"582,36"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,220,15619103ADL0000419 OC: 15636350 - 1380683,15619103ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"316,8"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,200,15619106ADL0000419 OC: 15636350 - 1380683,15619106ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,288
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,200,15619110ADL0000419 OC: 15636350 - 1380683,15619110ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,288
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,200,15619113ADL0000419 OC: 15636350 - 1380683,15619113ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"288,00"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,180,15619116ADL0000419 OC: 15636350 - 1380683,15619116ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"259,2"
2,DASS NORDESTE CALCADOS,138059,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636350,177,15619119ADL0000419 OC: 15636350 - 1380683,15619119ADL0000419,4/29/2026,29/06/2026,-10,132968,,,,,,,,,"254,88"
2,DASS NORDESTE CALCADOS,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15636341,211,15619195ADL0000411 OC: 15636341 - 1396818,15619195ADL0000411,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"327,05"
2,DASS NORDESTE CALCADOS,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,135CM,15636341,210,15619198ADL0000411 OC: 15636341 - 1396818,15619198ADL0000411,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"325,5"
2,DASS NORDESTE CALCADOS,138269,1396818,92677,ATAC. M60126 6MM ALPINA COR 2000,140CM,15636341,40,15619195ADL0000411 OC: 15636341 - 1396818,15619195ADL0000411,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"64,4"
2,DASS NORDESTE CALCADOS,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,115CM,15636341,13,15619146ADL0000420 OC: 15636341 - 1380683,15619146ADL0000420,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"17,16"
2,DASS NORDESTE CALCADOS,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636341,271,15619146ADL0000420 OC: 15636341 - 1380683,15619146ADL0000420,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"373,98"
2,DASS NORDESTE CALCADOS,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15636341,304,15619149ADL0000420 OC: 15636341 - 1380683,15619149ADL0000420,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"419,52"
2,DASS NORDESTE CALCADOS,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636341,183,15619146ADL0000420 OC: 15636341 - 1380683,15619146ADL0000420,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"263,52"
2,DASS NORDESTE CALCADOS,138269,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15636341,185,15619149ADL0000420 OC: 15636341 - 1380683,15619149ADL0000420,5/6/2026,22/06/2026,-17,133220,,,,,,,,,"266,4"
